location_name,lat,lon,category,description,nearest_stop_index,nearest_stop_id
Comptoir Libanais Kensington,51.49826,-0.17471999999999996,Food,Restaurant,24234,490014048N
Comptoir Libanais Wigmore Street,51.51956,-0.15231,Food,Restaurant,2140,490015316J
Comptoir Libanais Southbank Centre,51.50873,-0.11699,Food,Restaurant,8110,490020255S
Comptoir Libanais London Bridge,51.50723,-0.08436999999999999,Food,Restaurant,50288,490000139S
Comptoir Libanais Liverpool Street,51.52410999999999,-0.08436999999999999,Food,Restaurant,4279,490011448Z
Trafalgar Tavern,51.48525999999999,-0.0042,Food,Restaurant,3616,490013764S
Dream Xi'An Biangbiang Noodles,51.50910999999999,-0.07936999999999998,Food,Restaurant,5657,490007418E
Haute Dolci the O2 luxury food and deserts,51.50445,0.00425,Food,Restaurant,8597,490010374E
Terrace Bakery middle eastern,51.52711,-0.25974,Food,Restaurant,29189,490013003S
Gnocchi Bar,51.54169,-0.14627999999999997,Food,Restaurant,20245,490007876O
Portobello Ristorante & Pizzeria,51.51151,-0.19794999999999996,Food,Restaurant,49249,490005085S
The Wallace Resturant,51.51786,-0.015288999999999999,Food,Restaurant,1575,490010043S
Farzi Indian Restaurant,51.50920999999999,-0.13189,Food,Restaurant,46679,490007960P
Yaatra Indian Restaurant,51.49676,-0.13424999999999998,Food,Restaurant,19470,490012941W
Bellazul mediterranean,51.51836999999999,-0.15448,Food,Restaurant,2140,490015316J
La Rueda Tapas Bar,51.51243999999999,-0.30608,Food,Restaurant,51463,490004143N
Shoryu Ramen Carnaby,51.512840000000004,-0.13906,Food,Restaurant,6473,490004810RJ
Shoryu Ramen Soho,51.51127,-0.13395,Food,Restaurant,4695,490011791K
Shoryu Ramen Regent Street,51.50844,-0.13385999999999998,Food,Restaurant,4571,490011515Z
Thonglor Thai,51.537839999999996,-0.18467,Food,Restaurant,4588,490004187N
PaStation,51.52091999999999,-0.1348,Food,Restaurant,48426,490000089A
Rasa indian recomm.,51.565850000000005,-0.07653999999999998,Food,Restaurant,1421,490009208A
Chettinad indian recomm. spicy,51.51930999999999,-0.13294,Food,Restaurant,14087,490002124ZZ
Rly recomm. vietnamese,51.51549,-0.1233,Food,Restaurant,9427,490006203RA
SMOKESTAK recomm. meat,51.52388,-0.07294,Food,Restaurant,39622,490004313SA
Dal Fiorentino Brick Lane recomm. ital. sandwiches,51.51930999999999,-0.13294,Food,Restaurant,14087,490002124ZZ
La Creperie de Hampstead recomm.,51.55577,-0.17688,Food,Restaurant,50610,490000098A
50 Kalo di ciro Salvo Pizzeria recomm.,51.50722,-0.12652999999999998,Food,Restaurant,45600,490013767W
Baaria recomm. italian,51.512809999999995,-0.12856,Food,Restaurant,8101,490004695N
Waxy's O'Connor's Pub,51.51099,-0.13238,Drinks,Pub,4695,490011791K
The Sherlock Holmes Pub,51.50747999999999,-0.12522,Drinks,Pub,64267,910GCHRX
The Holly Bush Pub,51.56136999999999,-0.18011,Drinks,Pub,16684,490008531S1
The Lamb & Flag Pub,51.5119,-0.12568,Drinks,Pub,763,940GZZLUCGN
Terrace Bakery middle eastern,51.52711,-0.25974,Cafe,Brunch,29189,490013003S
Greek Street Live Brunch,51.5149,-0.13115,Cafe,Brunch,25454,490004695A
The Table Cafe,51.50579,-0.09985999999999999,Cafe,Brunch,50016,490009011SQ
Co. pricey,51.50232,-0.16309,Cafe,Coffee,40400,490008875KH
Attendant Coffee Roasters - Fritzrovia,51.51946999999999,-0.14065,Cafe,Coffee,29579,490010198W
Chaiiwala 1,51.52156,-0.07286,Cafe,Coffee,14306,490010584S
Chaiiwala 2,51.52193,-0.12165999999999999,Cafe,Coffee,55232,490005624S
Chaiiwala 3,51.49826,-0.16925999999999997,Cafe,Coffee,41965,490004437E
Secret Layers Tiramisu experience,51.51322,-0.17803999999999998,Cafe,Pastries,17164,490000133A
Java Whiskers Cat Cafe White City,51.510940000000005,-0.22323999999999997,Cafe,Pastries,16986,490000269B
Java Whiskers Cat Cafe Marylebone,51.5212,-0.14238999999999996,Cafe,Pastries,29579,490010198W
Jack and Beyond unlimited cake,51.4711,-0.17238,Cafe,Pastries,29069,490003687E
The Wallace Cafe,51.51786,-0.015288999999999999,Cafe,Pastries,1575,490010043S
Le Deli Robuchon Piccadilly,51.50739,-0.14396,Cafe,Pastries,48055,490000093PA
Beigel Shop Bakery,51.52448,-0.07172,Cafe,Pastries,39622,490004313SA
Brick Lane Bagel Co,51.50618999999999,-0.020150000000000005,Food,Fast Food,56844,940GZZDLWIQ
Common Pizza,51.460899999999995,-0.14327,Food,Fast Food,4489,490011673W
26 Grains recomm.,51.51453,-0.12631,Food,Brunch,39670,490023076W
Circe's Rooftop,51.50327,-0.11036999999999998,Drinks,Bar,7746,490000254D
Cahoots Postal Office,51.506040000000006,-0.09167999999999998,Drinks,Bar,25636,490013424E
Greek Street Live,51.5149,-0.13115,Drinks,Bar,25454,490004695A
Plume Wine Bar,51.51257999999999,-0.12013,Drinks,Bar,46555,490019703Z
Belle Livingstone's Jazz Club,51.46994999999999,-0.06708,Drinks,Club,2695,490001223V
The Top Secret Comedy Club,51.51564,-0.12325999999999997,Sight,Theater or Cinema,9427,490006203RA
